代码, 中文
### 载具 (Vehicle) ###
BP_WheelBarrow_Improvised, 简易手推车
BP_WheelBarrow_Metal, 金属手推车
BPC_Barba, 巴巴摩托
BPC_BigRaft, 大型木筏
BPC_CityBike, 城市自行车
BPC_Cruiser, 巡航摩托
BPC_Dinghy, 充气小艇
BPC_Dirtbike, 越野摩托
BPC_Kinglet_Duster, 金莱特轻型飞机
BPC_Kinglet_Mariner, 金莱特水上飞机
BPC_Laika, 莱卡越野车
BPC_MountainBike, 山地自行车
BPC_Rager, 突击越野车
BPC_RIS, RIS越野车
BPC_SidecarBike, 边三轮摩托
BPC_SmallRaft, 小型木筏
BPC_SUP, 立式桨板
BPC_Tractor, 拖拉机
BPC_WolfsWagen, 沃尔夫轿车

### 弹药 (Ammo) ###
12_Gauge_Birdshot, 12号鸟弹
12_Gauge_Birdshot_Ammobox, 12号鸟弹弹药盒
12_Gauge_Buckshot, 12号鹿弹
12_Gauge_Buckshot_Ammobox, 12号鹿弹弹药盒
12_Gauge_Buckshot_Crafted, 自制12号鹿弹
12_Gauge_Slug, 12号独头弹
12_Gauge_Slug_Ammobox, 12号独头弹弹药盒
Ammo_Crossbow_Bolt_Carbon, 碳纤维弩箭
Ammo_Crossbow_Bolt_Dildo, 假屌弩箭
Ammo_Crossbow_Bolt_Explosive, 爆炸弩箭
Ammo_Crossbow_Bolt_Metal, 金属弩箭
Ammo_Crossbow_Bolt_Wooden, 木质弩箭
Ammo_Crossbow_Bolt_WoodenMetalTip, 木制金属头弩箭
Ammo_Crossbow_Bolt_WoodenStoneTip, 木制石质头弩箭
Cal_22, .22LR子弹
Cal_22_Ammobox, .22LR弹药盒
Cal_22_Ammobox_TR, .22LR曳光弹药盒
Cal_22_Crafted, 自制.22LR子弹
Cal_22_TR, .22LR曳光弹
Cal_30-06, .30-06子弹
Cal_30-06_Ammobox, .30-06弹药盒
Cal_30-06_Ammobox_AP, .30-06穿甲弹药盒
Cal_30-06_Ammobox_TR, .30-06曳光弹药盒
Cal_30-06_AP, .30-06穿甲弹
Cal_30-06_AP_CR, .30-06穿甲弹(自制)
Cal_30-06_Crafted, 自制.30-06子弹
Cal_30-06_TR, .30-06曳光弹
Cal_308, .308子弹
Cal_308_Ammobox, .308弹药盒
Cal_308_Ammobox_AP, .308穿甲弹药盒
Cal_308_Ammobox_TR, .308曳光弹药盒
Cal_308_AP, .308穿甲弹
Cal_308_AP_CR, .308穿甲弹(自制)
Cal_308_Crafted, 自制.308子弹
Cal_308_TR, .308曳光弹
Cal_338, .338子弹
Cal_338_Ammobox, .338弹药盒
Cal_338_Ammobox_AP, .338穿甲弹药盒
Cal_338_Ammobox_TR, .338曳光弹药盒
Cal_338_AP, .338穿甲弹
Cal_338_AP_CR, .338穿甲弹(自制)
Cal_338_Crafted, 自制.338子弹
Cal_338_TR, .338曳光弹
Cal_357_Ammobox, .357马格南弹药盒
Cal_357_Ammobox_AP, .357马格南穿甲弹药盒
Cal_357_Ammobox_TR, .357马格南曳光弹药盒
Cal_357_Viper, .357马格南子弹(蝰蛇)
Cal_357_Viper_AP, .357马格南穿甲弹(蝰蛇)
Cal_357_Viper_AP_CR, .357马格南穿甲弹(自制)
Cal_357_Viper_Crafted, 自制.357马格南子弹
Cal_357_Viper_TR, .357马格南曳光弹
Cal_38, .38特种弹
Cal_38_Ammobox, .38弹药盒
Cal_38_Ammobox_AP, .38穿甲弹药盒
Cal_38_Ammobox_TR, .38曳光弹药盒
Cal_38_AP, .38穿甲弹
Cal_38_AP_CR, .38穿甲弹(自制)
Cal_38_Crafted, 自制.38子弹
Cal_38_TR, .38曳光弹
Cal_40_OG-7V, 40mm OG-7V破片弹
Cal_40_PG-7M, 40mm PG-7M破甲弹
Cal_40x46, 40x46mm榴弹
Cal_44_Viper, .44马格南子弹(蝰蛇)
Cal_44_Viper_Ammobox, .44马格南弹药盒
Cal_44_Viper_Ammobox_AP, .44马格南穿甲弹药盒
Cal_44_Viper_Ammobox_TR, .44马格南曳光弹药盒
Cal_44_Viper_AP, .44马格南穿甲弹
Cal_44_Viper_AP_CR, .44马格南穿甲弹(自制)
Cal_44_Viper_Crafted, 自制.44马格南子弹
Cal_44_Viper_TR, .44马格南曳光弹
Cal_45, .45 ACP子弹
Cal_45_Ammobox, .45 ACP弹药盒
Cal_45_Ammobox_TR, .45 ACP曳光弹药盒
Cal_45_AP, .45 ACP穿甲弹
Cal_45_AP_Ammobox, .45 ACP穿甲弹药盒
Cal_45_AP_CR, .45 ACP穿甲弹(自制)
Cal_45_Crafted, 自制.45 ACP子弹
Cal_45_TR, .45 ACP曳光弹
Cal_50_AE, .50 AE子弹
Cal_50_AE_Ammobox, .50 AE弹药盒
Cal_50_AE_Ammobox_TR, .50 AE曳光弹药盒
Cal_50_AE_AP, .50 AE穿甲弹
Cal_50_AE_AP_Ammobox, .50 AE穿甲弹药盒
Cal_50_AE_AP_CR, .50 AE穿甲弹(自制)
Cal_50_AE_Crafted, 自制.50 AE子弹
Cal_50_AE_TR, .50 AE曳光弹
Cal_50BMG, .50 BMG子弹
Cal_50BMG_Ammobox, .50 BMG弹药盒
Cal_50BMG_Ammobox_TR, .50 BMG曳光弹药盒
Cal_50BMG_AP, .50 BMG穿甲弹
Cal_50BMG_AP_Ammobox, .50 BMG穿甲弹药盒
Cal_50BMG_Crafted, 自制.50 BMG子弹
Cal_50BMG_TR, .50 BMG曳光弹
Cal_5_45x39mm, 5.45x39mm子弹
Cal_5_45x39mm_Ammobox, 5.45x39mm弹药盒
Cal_5_45x39mm_Ammobox_TR, 5.45x39mm曳光弹药盒
Cal_5_45x39mm_AP, 5.45x39mm穿甲弹
Cal_5_45x39mm_AP_Ammobox, 5.45x39mm穿甲弹药盒
Cal_5_45x39mm_AP_CR, 5.45x39mm穿甲弹(自制)
Cal_5_45x39mm_Crafted, 自制5.45x39mm子弹
Cal_5_45x39mm_TR, 5.45x39mm曳光弹
Cal_5_56x45mm, 5.56x45mm子弹
Cal_5_56x45mm_Ammobox, 5.56x45mm弹药盒
Cal_5_56x45mm_Ammobox_TR, 5.56x45mm曳光弹药盒
Cal_5_56x45mm_AP, 5.56x45mm穿甲弹
Cal_5_56x45mm_AP_Ammobox, 5.56x45mm穿甲弹药盒
Cal_5_56x45mm_AP_CR, 5.56x45mm穿甲弹(自制)
Cal_5_56x45mm_Crafted, 自制5.56x45mm子弹
Cal_5_56x45mm_TR, 5.56x45mm曳光弹
Cal_7_62x39mm, 7.62x39mm子弹
Cal_7_62x39mm_Ammobox, 7.62x39mm弹药盒
Cal_7_62x39mm_Ammobox_TR, 7.62x39mm曳光弹药盒
Cal_7_62x39mm_AP, 7.62x39mm穿甲弹
Cal_7_62x39mm_AP_Ammobox, 7.62x39mm穿甲弹药盒
Cal_7_62x39mm_AP_CR, 7.62x39mm穿甲弹(自制)
Cal_7_62x39mm_Crafted, 自制7.62x39mm子弹
Cal_7_62x39mm_TR, 7.62x39mm曳光弹
Cal_7_62x54mmR, 7.62x54mmR子弹
Cal_7_62x54mmR_Ammobox, 7.62x54mmR弹药盒
Cal_7_62x54mmR_Ammobox_TR, 7.62x54mmR曳光弹药盒
Cal_7_62x54mmR_AP, 7.62x54mmR穿甲弹
Cal_7_62x54mmR_AP_Ammobox, 7.62x54mmR穿甲弹药盒
Cal_7_62x54mmR_AP_CR, 7.62x54mmR穿甲弹(自制)
Cal_7_62x54mmR_Crafted, 自制7.62x54mmR子弹
Cal_7_62x54mmR_TR, 7.62x54mmR曳光弹
Cal_7_92x57mm, 7.92x57mm毛瑟弹
Cal_7_92x57mm_Ammobox, 7.92x57mm弹药盒
Cal_7_92x57mm_Ammobox_TR, 7.92x57mm曳光弹药盒
Cal_7_92x57mm_AP, 7.92x57mm穿甲弹
Cal_7_92x57mm_AP_Ammobox, 7.92x57mm穿甲弹药盒
Cal_7_92x57mm_AP_CR, 7.92x57mm穿甲弹(自制)
Cal_7_92x57mm_Crafted, 自制7.92x57mm子弹
Cal_7_92x57mm_TR, 7.92x57mm曳光弹
Cal_9mm, 9mm子弹
Cal_9mm_Ammobox, 9mm弹药盒
Cal_9mm_Ammobox_TR, 9mm曳光弹药盒
Cal_9mm_AP, 9mm穿甲弹
Cal_9mm_AP_Ammobox, 9mm穿甲弹药盒
Cal_9mm_AP_CR, 9mm穿甲弹(自制)
Cal_9mm_Crafted, 自制9mm子弹
Cal_9mm_TR, 9mm曳光弹
Cal_9x39mm, 9x39mm子弹
Cal_9x39mm_Ammobox, 9x39mm弹药盒
Cal_9x39mm_Ammobox_TR, 9x39mm曳光弹药盒
Cal_9x39mm_AP, 9x39mm穿甲弹
Cal_9x39mm_AP_Ammobox, 9x39mm穿甲弹药盒
Cal_9x39mm_AP_CR, 9x39mm穿甲弹(自制)
Cal_9x39mm_Crafted, 自制9x39mm子弹
Cal_9x39mm_TR, 9x39mm曳光弹

### 武器 (Weapon) ###
Weapon_590A11, 590A1霰弹枪
Weapon_98k_Karabiner, Kar98k毛瑟步枪
Weapon_AK15, AK-15突击步枪
Weapon_AK47, AK-47突击步枪
Weapon_AK47_Engraved, AK-47(雕刻版)
